l_english:
 # Auto-generated missing localization keys
 # Generated by HOI4 Modding Tools

 # DECISION
 PRC_women_in_the_workforce_decision:0 "Prc Women In The Workforce Decision"
 PRC_new_digital_leninists_bop_authority_to_scientists_decision:0 "Prc New Digital Leninists Bop Authority To Scientists Decision"
 PRC_new_digital_leninists_bop_MSS_is_system_guarantor_decision:0 "Prc New Digital Leninists Bop Mss Is System Guarantor Decision"
 PRC_review_the_party_decision:0 "Prc Review The Party Decision"
 PRC_will_unlock_decisions_to_deal_with_anti_technocratic_movement_tt:0 "Prc Will Unlock Decisions To Deal With Anti Technocratic Movement Tt"
 PRC_strengthen_crackdowns_decision:0 "Prc Strengthen Crackdowns Decision"
 when_selecting_a_decision_tt:0 "When Selecting A Decision Tt"
 decision_cost_civ_factory_3:0 "Decision Cost Civ Factory 3"
 decision_cost_CP_25_pp_50:0 "Decision Cost Cp 25 Pp 50"
 PRC_operation_crimson_sky_decision_cost:0 "Prc Operation Crimson Sky Decision Cost"
 PRC_wu_qi_operation_mission_fail_tt:0 "Prc Wu Qi Operation Mission Fail Tt"
 PRC_wu_qi_operation_mission_success_tt:0 "Prc Wu Qi Operation Mission Success Tt"
 PRC_environment_acceptance_mission_tt:0 "Prc Environment Acceptance Mission Tt"
 PRC_control_the_coronavirus_mission:0 "Prc Control The Coronavirus Mission"
 PRC_vaccine_development_mission:0 "Prc Vaccine Development Mission"
 XIN_our_mission_is_completed:0 "Xin Our Mission Is Completed"
 PRC_SPZ_decision:0 "Prc Spz Decision"
 PRC_100_dockyards_plan_mission:0 "Prc 100 Dockyards Plan Mission"
 PRC_CHI_cultural_communications_decision:0 "Prc Chi Cultural Communications Decision"
 PRC_CHI_naval_drilling_decision:0 "Prc Chi Naval Drilling Decision"
 PRC_CHI_trade_communications_decision:0 "Prc Chi Trade Communications Decision"
 PRC_CHI_epidemic_communications_decision:0 "Prc Chi Epidemic Communications Decision"
 PRC_operation_li_jing_decision:0 "Prc Operation Li Jing Decision"
 PRC_mission_to_deal_with_the_movement:0 "Prc Mission To Deal With The Movement"
 PRC_new_religious_policy_decision:0 "Prc New Religious Policy Decision"
 PRC_new_left_influence_increasing_mission:0 "Prc New Left Influence Increasing Mission"
 PRC_new_left_attacking_squo_mission:0 "Prc New Left Attacking Squo Mission"
 PRC_new_left_red_culture_mission:0 "Prc New Left Red Culture Mission"
 PRC_new_left_organizing_workers_mission:0 "Prc New Left Organizing Workers Mission"
 PRC_nationalist_influence_increasing_mission:0 "Prc Nationalist Influence Increasing Mission"
 PRC_nationalist_attacking_libs_mission:0 "Prc Nationalist Attacking Libs Mission"
 PRC_nationalist_pro_war_propoganda_mission:0 "Prc Nationalist Pro War Propoganda Mission"
 PRC_nationalist_militarization_mission:0 "Prc Nationalist Militarization Mission"
 PRC_centrist_influence_increasing_mission:0 "Prc Centrist Influence Increasing Mission"
 PRC_centrist_attacking_new_left_mission:0 "Prc Centrist Attacking New Left Mission"
 PRC_centrist_buiding_infrastructure_mission:0 "Prc Centrist Buiding Infrastructure Mission"
 PRC_centrist_attacking_nationalists_mission:0 "Prc Centrist Attacking Nationalists Mission"
 PRC_liberal_influence_increasing_mission:0 "Prc Liberal Influence Increasing Mission"
 PRC_liberal_attacking_authoritarians_mission:0 "Prc Liberal Attacking Authoritarians Mission"
 PRC_liberal_demanding_reforms_mission:0 "Prc Liberal Demanding Reforms Mission"
 PRC_liberal_market_oriented_policy_mission:0 "Prc Liberal Market Oriented Policy Mission"
 debug_decisions:0 "Debug Decisions"
